,Tag,NewName,Address,Format,ModbusAddress,Comment,InitalValue,Signed,TextTagSize,Minimum,Maximum,Resolution,Group,Presentation,WriteAllowed,DisplayFormat
416,AT_101,AT_101,AIV00100,FLOAT,1000,CHAMBER 1 NUTRIENT TANK pH TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
417,AT_102,AT_102,AIV00101,FLOAT,1002,CHAMBER 1 NUTRIENT TANK EC TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
434,AT_103,AT_103,AIV00118,FLOAT,1004,CHAMBER 1 VAISALA CO2 TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
435,AT_104,AT_104,AIV00119,FLOAT,1006,CHAMBER 1 VAISALA HUMIDITY TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
436,AT_105,AT_105,AIV00120,FLOAT,1008,CHAMBER 1 VAISALA TEMP TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
437,FT_101,FT_101,AIV00121,FLOAT,1010,CHAMBER 1 NUTRIENT FEED FLOW TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
450,LT_101,LT_101,AIV00122,FLOAT,1012,CHAMBER 1 NUTRIENT TANK LEVEL TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
451,MT_101,MT_101,AIV00123,FLOAT,1014,CHAMBER 1 VEG MOISTURE TRANSMITTER 1,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
452,MT_102,MT_102,AIV00124,FLOAT,1016,CHAMBER 1 VEG MOISTURE TRANSMITTER 2,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
453,MT_103,MT_103,AIV00125,FLOAT,1018,CHAMBER 1 MOTHER MOISTURE TRANSMITTER 1,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
455,PDT_101,PDT_101,AIV00127,FLOAT,1020,CHAMBER 1 FILTER PRESSURE DIFFERENTIAL TRANS,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
456,PT_101,PT_101,AIV00128,FLOAT,1022,CHAMBER 1 NUTRIENT FEED PRESSURE TRANSMITTER,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
454,MT_104,MT_104,AIV00126,FLOAT,1024,CHAMBER 1 MOTHER MOISTURE TRANSMITTER 2,,True,,0,1000,1,CHAMBER 1,False,False,DECIMAL
438,HS_101,HS_101,DIV00332,DIGITAL,1030,CHAMBER 1 NUTRIENT FEED PUMP ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
439,HS_102,HS_102,DIV00333,DIGITAL,1031,CHAMBER 1 DUCT UV LIGHT ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
440,HS_103,HS_103,DIV00334,DIGITAL,1032,CHAMBER 1 DEHUMIDIFIER ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
441,HS_104,HS_104,DIV00335,DIGITAL,1033,CHAMBER 1 HUMIDIFIER ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
442,HS_105,HS_105,DIV00336,DIGITAL,1034,CHAMBER 1 FAN ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
443,HS_106,HS_106,DIV00337,DIGITAL,1035,CHAMBER 1 OSCILLATING FANS ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
444,HS_107,HS_107,DIV00338,DIGITAL,1036,CHAMBER 1 SS550 MOTHER LIGHTS ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
445,HS_108,HS_108,DIV00339,DIGITAL,1037,CHAMBER 1 SS550 VEG LIGHTS ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
446,HS_109,HS_109,DIV00340,DIGITAL,1038,CHAMBER 1 COOLING ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
447,HS_110,HS_110,DIV00341,DIGITAL,1039,CHAMBER 1 HEAT ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
448,LSHH_101,LSHH_101,DIV00342,DIGITAL,1040,CHAMBER 1 NUTRIENT TANK LEVEL HI HI SHUT DOWN,,False,,,,,CHAMBER 1,False,False,DECIMAL
449,LSLL_101,LSLL_101,DIV00343,DIGITAL,1041,CHAMBER 1 NUTRIENT TANK LEVEL LO LO SHUT DOWN,,False,,,,,CHAMBER 1,False,False,DECIMAL
457,XY_104,XY_104,DIV00344,DIGITAL,1042,CHAMBER 1 NUTRIENT MOTHER FEED SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
459,XY_110,XY_110,DIV00346,DIGITAL,1043,CHAMBER 1 NUTRIENT FEED RECIRC SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
460,XY_112,XY_112,DIV00347,DIGITAL,1044,CHAMBER 1 NUTRIENT TANK DRAIN SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
461,XY_114,XY_114,DIV00348,DIGITAL,1045,CHAMBER 1 NUTRIENT 1 DOSING SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
462,XY_115,XY_115,DIV00349,DIGITAL,1046,CHAMBER 1 NUTRIENT 2 DOSING SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
463,XY_116,XY_116,DIV00350,DIGITAL,1047,CHAMBER 1 NUTRIENT 3 DOSING SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
464,XY_117,XY_117,DIV00351,DIGITAL,1048,CHAMBER 1 NUTRIENT 4 DOSING SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
465,XY_118,XY_118,DIV00352,DIGITAL,1049,CHAMBER 1 NUTRIENT 5 DOSING SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
466,XY_119,XY_119,DIV00353,DIGITAL,1050,CHAMBER 1 NUTRIENT 6 DOSING SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
467,XY_120,XY_120,DIV00354,DIGITAL,1051,CHAMBER 1 NUTRIENT 7 DOSING SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
468,XY_121,XY_121,DIV00355,DIGITAL,1052,CHAMBER 1 pH UP SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
469,XY_122,XY_122,DIV00356,DIGITAL,1053,CHAMBER 1 pH DOWN SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
470,XY_124,XY_124,DIV00357,DIGITAL,1054,CHAMBER 1 RO WATER FILL SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
471,XY_125,XY_125,DIV00358,DIGITAL,1055,CHAMBER 1 CO2 SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
458,XY_107,XY_107,DIV00345,DIGITAL,1056,CHAMBER 1 NUTRIENT VEG FEED SOLENOID VALVE,,False,,,,,CHAMBER 1,False,False,DECIMAL
743,HS_115,HS_115,DIV00425,DIGITAL,1057,CHAMBER 1 CLONE LIGHT ON/OFF,,False,,,,,CHAMBER 1,False,False,DECIMAL
514,HS_150_PERM,HS_150_PERM,DIV00363,DIGITAL,1500,CHAMBER 1 R/O WATER FILL - PERMISSIVE,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
515,HS_151_PERM,HS_151_PERM,DIV00364,DIGITAL,1501,CHAMBER 1 RECIRCULATION - PERMISSIVE,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
516,HS_152_PERM,HS_152_PERM,DIV00365,DIGITAL,1502,CHAMBER 1 FEED MOTHER - PERMISSIVE,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
517,HS_153_PERM,HS_153_PERM,DIV00366,DIGITAL,1503,CHAMBER 1 DRAIN - PERMISSIVE,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
518,HS_154,HS_154,DIV00367,DIGITAL,1504,CHAMBER 1 SYSTEM SHUTDOWN,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
537,HS_155_PERM,HS_155_PERM,DIV00374,DIGITAL,1505,CHAMBER 1 FILL NUTRIENTS - PERMISSIVE,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
